"","Name","Form","Lf","Dis","MaxCat","LfWsKts","LfMb","maxPpt","meanPpt","rainArea","intensity"
"1","Ana","5/8/2015","5/10/2015","5/11/2015","TS",40,1002,262.37200571224,33.2297463259781,"  932,368",2
"2","Bill","6/16/2015","6/16/2015","6/18/2015","TD",50,997,409.01898956299,35.846615298151,"1,194,800",1
"3","Bonnie","5/27/2016","5/29/2016","6/4/2016","TS",30,1007,465.19199371338,62.9780226719471,"1,457,296",2
"4","Colin","6/5/2016","6/7/2016","6/7/2016","TS",45,1001,246.5860004425,28.8964127216149,"  798,560",2
"5","Hermine","8/28/2016","9/2/2016","9/3/2016","H1",70,981,417.21798634529,42.4920101356357,"1,022,144",3
"6","Julia","9/13/2016","9/13/2016","9/18/2016","TS",30,1010,227.42899347842,29.5080177309673,"1,213,344",2
"7","Matthew","9/28/2016","10/7/2016","10/9/2016","H5",75,963,460.02100551128,67.7970636407585,"  745,584",7
"8","Harvey","8/17/2017","8/25/2017","9/1/2017","H4",115,937,1278.4879640341,91.7542671825183,"1,391,312",6
"9","Cindy","6/20/2017","6/22/2017","6/23/2017","TS",45,991,481.08100128174,44.6498153670162,"1,195,152",2
"10","Nate","10/4/2017","10/8/2017","10/8/2017","H1",75,983,242.23100280762,32.0061153946725,"  804,032",3
"11","Irma","8/30/2017","9/10/2017","9/12/2017","H5",115,931,532.08398604393,78.7144506185401,"  709,344",7
"12","Emily","7/30/2017","7/31/2017","8/1/2017","TS",50,1001,228.03300285339,22.0739721686694,"  847,648",2
"13","Alberto","5/25/2018","5/28/2018","5/31/2018","TS",40,992,371.26200354472,54.0479275454653,"  913,248",2
"14","Gordon","9/3/2018","9/4/2018","9/6/2018","TS",60,996,330.85198837519,38.0183218317434,"1,224,112",2
"15","Florence","8/31/2018","9/14/2018","9/17/2018","H4",80,956,903.10598707199,56.9798169801145,"1,154,752",6
"16","Michael","8/7/2018","8/10/2018","8/11/2018","H5",140,919,194.19600319862,23.4188658963426,"1,348,512",7
"17","Barry","7/11/2019","7/13/2019","7/15/2019","H1",65,993,530.0620059967,38.9107259613805,"  997,408",3
"18","Imelda","9/17/2019","9/17/2019","9/21/2019","TS",34.8,1005,960.10002148151,39.7108973897521,"  691,248",2
"19","Nestor","10/17/2019","10/19/2019","10/19/2019","TS",39,NA,163.85500335693,32.3289593727486,"  644,672",2
"20","Dorian","8/24/2019","9/6/2019","9/10/2019","H5",78,NA,384.47500610352,26.9738168994451,"  699,392",7
