SITENO,SITENAME,CATEGORY,AGENCY,LONGDD,LATDD,SITEURL
3249505,"LICKING RIVER AT HWY 60 AT FARMERS, KY",ST,USGS,-83.5571327,38.14008125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03249505
3249500,"LICKING RIVER AT FARMERS, KY",ST,USGS,-83.5432431,38.11535945,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03249500
3249498,"CAVE RUN LAKE NEAR FARMERS, KY",LK,USGS,-83.5335206,38.1200817,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03249498
3250100,"NORTH FORK TRIPLETT CREEK NEAR MOREHEAD, KY",ST,USGS,-83.4804635,38.1992478,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03250100
3280800,"BUCKHORN LAKE AT BUCKHORN, KY",LK,USGS,-83.4701849,37.34009096,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03280800
3282500,"RED RIVER NEAR HAZEL GREEN, KY",ST,USGS,-83.4637953,37.8123083,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03282500
3250000,"TRIPLETT CREEK AT MOREHEAD, KY",ST,USGS,-83.4299062,38.18452604,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03250000
3528000,"CLINCH RIVER ABOVE TAZEWELL, TN",ST,USGS,-83.3982345,36.425087,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03528000
3280000,"NORTH FORK KENTUCKY RIVER AT JACKSON, KY",ST,USGS,-83.3857358,37.55231228,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03280000
3280600,"MIDDLE FORK KENTUCKY RIVER NEAR HYDEN, KY",ST,USGS,-83.3814906,37.14639458,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03280600
3280612,"MIDDLE FORK KENTUCKY RIVER AT HWY 2431 AT HYDEN,KY",ST,USGS,-83.3812933,37.1462029,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03280612
3280790,"TRACE BR AT TRACE BR CAMPGROUND AT CONFLUENCE, KY",ST,USGS,-83.3698472,37.2719861,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03280790
3401000,"CUMBERLAND RIVER NEAR HARLAN, KY",ST,USGS,-83.3557386,36.84675484,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03401000
3400986,"MARTIN'S FORK NEAR HARLAN, KY",ST,USGS,-83.3235148,36.8445329,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03400986
3280700,"CUTSHIN CREEK AT WOOTON, KY",ST,USGS,-83.3079564,37.1650931,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03280700
3400785,"MARTINS FORK ABOVE SMITH, KY",ST,USGS,-83.287958,36.72619838,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03400785
3400798,"MARTINS FORK LK AT MARTINS FK DAM NR SMITH, KY",LK,USGS,-83.257679,36.74925414,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03400798
3400800,"MARTINS FORK NEAR SMITH, KY",ST,USGS,-83.2574012,36.75230974,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03400800
3237280,Upper Twin Creek at McGaw OH,ST,USGS,-83.21573648,38.64368745,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03237280
3277500,"NORTH FORK KENTUCKY RIVER AT HAZARD, KY",ST,USGS,-83.1827778,37.2465833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03277500
3531500,"POWELL RIVER NEAR JONESVILLE, VA",ST,USGS,-83.0948928,36.66203367,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03531500
3248300,"LICKING RIVER BELOW MASON FORK NR SALYERSVILLE, KY",ST,USGS,-83.0579478,37.73064817,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03248300
3277450,"CARR FORK NEAR SASSAFRAS, KY",ST,USGS,-83.0337562,37.2333194,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03277450
3277446,"CARR CREEK LAKE NEAR SASSAFRAS, KY",LK,USGS,-83.0334978,37.2303749,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03277446
3400500,"POOR FORK AT CUMBERLAND, KY",ST,USGS,-82.99294,36.97398059,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03400500
3216350,"LITTLE SANDY RIVER BELOW GRAYSON DAM NEAR LEON, KY",ST,USGS,-82.9910027,38.25397068,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216350
3216300,"GRAYSON LAKE NEAR LEON, KY",LK,USGS,-82.985447,38.25258184,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216300
3217200,"OHIO RIVER AT PORTSMOUTH, OH",ST,USGS,-82.9729789,38.72893765,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03217200
3217000,"TYGARTS CREEK NEAR GREENUP, KY",ST,USGS,-82.9521158,38.5642453,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03217000
3491000,"BIG CREEK NEAR ROGERSVILLE, TN",ST,USGS,-82.9518304,36.42620656,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03491000
3216500,"LITTLE SANDY RIVER AT GRAYSON, KY",ST,USGS,-82.9393353,38.3300813,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216500
3527220,"CLINCH RIVER NEAR LOONEYS GAP, TN",ST,USGS,-82.938754,36.57280708,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03527220
3216600,"OHIO RIVER AT GREENUP DAM NEAR GREENUP, KY",ST,USGS,-82.860447,38.6467448,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216600
3215410,"BLAINE CREEK NEAR BLAINE, KY",ST,USGS,-82.846829,38.0295332,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03215410
3277300,"NORTH FORK KENTUCKY RIVER AT WHITESBURG, KY",ST,USGS,-82.82460429,37.11759849,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03277300
3212500,"LEVISA FORK AT PAINTSVILLE, KY",ST,USGS,-82.7915493,37.81537197,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03212500
3209800,"LEVISA FORK AT PRESTONSBURG, KY",ST,USGS,-82.7771043,37.67093027,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209800
3529500,"POWELL RIVER AT BIG STONE GAP, VA",ST,USGS,-82.7754387,36.86898536,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03529500
3527000,"CLINCH RIVER AT SPEERS FERRY, VA",ST,USGS,-82.7504384,36.64870849,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03527000
3211000,"DEWEY LAKE NEAR VAN LEAR, KY",LK,USGS,-82.730436,37.73787419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03211000
3211500,"JOHNS CREEK NEAR VAN LEAR, KY",ST,USGS,-82.72404689,37.74370748,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03211500
3216070,"OHIO RIVER AT IRONTON, OH",ST,USGS,-82.6859444,38.53205556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216070
3216000,"OHIO RIVER AT ASHLAND, KY",ST,USGS,-82.6365497,38.4811922,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216000
3215000,"BIG SANDY R AT LOUISA, KY",ST,USGS,-82.6346023,38.17119708,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03215000
3490000,"N F HOLSTON RIVER NEAR GATE CITY, VA",ST,USGS,-82.567931,36.60871119,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03490000
3209500,"LEVISA FORK AT PIKEVILLE, KY",ST,USGS,-82.5262632,37.4642676,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209500
3205995,Sandusky Creek near Burlington OH,ST,USGS,-82.5098787,38.41758208,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03205995
3206000,"OHIO RIVER AT HUNTINGTON, WV",ST,USGS,-82.500434,38.41341549,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03206000
3205470,Symmes Creek at Aid OH,ST,USGS,-82.495157,38.59619126,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03205470
3524740,"CLINCH RIVER AT ROUTE 65 AT DUNGANNON, VA",ST,USGS,-82.4619444,36.83138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524740
3210000,"JOHNS CREEK NEAR META, KY",ST,USGS,-82.45792659,37.5670444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03210000
3524500,"GUEST RIVER AT COEBURN, VA",ST,USGS,-82.4562619,36.92926938,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524500
3208950,"CRANES NEST RIVER NEAR CLINTWOOD, VA",ST,USGS,-82.4387614,37.1239952,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208950
3207020,"TWELVEPOLE CREEK BELOW WAYNE, WV",ST,USGS,-82.4343191,38.24897409,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207020
3207995,"FISHTRAP LAKE NEAR MILLIARD, KY",LK,USGS,-82.4159813,37.43343697,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207995
3208000,"LEVISA FORK BELOW FISHTRAP DAM NEAR MILLARD, KY",ST,USGS,-82.4123701,37.42593725,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208000
3214500,"TUG FORK AT KERMIT, WV",ST,USGS,-82.4087578,37.83731869,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03214500
3206450,"FOURPOLE CREEK NEAR HUNTINGTON, WV",ST,USGS,-82.3934849,38.36258445,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03206450
3209410,"RUSSELL FORK AT CEDARVILLE, KY",ST,USGS,-82.3595549,37.31295507,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209410
3207965,"GRAPEVINE CREEK NEAR PHYLLIS, KY",ST,USGS,-82.3537563,37.43260479,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207965
3209000,"POUND RIVER BELOW FLANNAGAN DAM, NEAR HAYSI, VA",ST,USGS,-82.34320179,37.23705384,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209000
3209300,"RUSSELL FORK AT ELKHORN CITY, KY",ST,USGS,-82.3429236,37.30399717,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209300
3209200,"RUSSELL FORK AT BARTLICK, VA",ST,USGS,-82.32347869,37.24594307,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209200
3206600,"EAST FORK TWELVEPOLE CREEK NEAR DUNLOW, WV",ST,USGS,-82.3059722,38.0118333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03206600
3208500,"RUSSELL FORK AT HAYSI, VA",ST,USGS,-82.2956993,37.20705367,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208500
3213700,"TUG FORK AT WILLIAMSON, WV",ST,USGS,-82.2801408,37.67315699,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03213700
3204000,"GUYANDOTTE RIVER AT BRANCHLAND, WV",ST,USGS,-82.2026417,38.22092326,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03204000
3207800,"LEVISA FORK AT BIG ROCK, VA",ST,USGS,-82.1956935,37.35371995,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207800
3524000,"CLINCH RIVER AT CLEVELAND, VA",ST,USGS,-82.1548569,36.9448295,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03524000
3478400,"BEAVER CREEK AT BRISTOL, VA",ST,USGS,-82.1337425,36.63177439,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03478400
3204294,"MUD RIVER AT HAMLIN, WV",ST,USGS,-82.11438889,38.27830556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03204294
3204500,"MUD RIVER NEAR MILTON, WV",ST,USGS,-82.1131111,38.38825,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03204500
